name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Ryan's Daughter,1970,"30,846,306",0,"30,846,306"
La piel que habito,2011,"3,185,812","27,656,541","30,842,353"
Winter's Tale,2014,"12,600,231","18,200,000","30,800,231"
Double Take,2001,"29,823,162","962,400","30,785,562"
My Little Pony: The Movie,2017,"21,885,107","8,885,899","30,771,006"
Murphy's Romance,1985,"30,762,621",0,"30,762,621"
Exorcist II: The Heretic,1977,"30,749,142",0,"30,749,142"
Igor,2008,"19,528,602","11,192,266","30,720,868"
The Legend of Bagger Vance,2000,"30,695,227",0,"30,695,227"
Young Doctors in Love,1982,"30,688,860",0,"30,688,860"
The Forest,2016/I,"26,583,369","4,104,231","30,687,600"
Holmes & Watson,2018,"30,568,743","118,151","30,686,894"
Nancy Drew,2007,"25,612,520","5,054,410","30,666,930"
Teen Titans Go! To the Movies,2018,"29,562,341","1,100,000","30,662,341"
Keeping Up with the Joneses,2016,"14,896,798","15,748,989","30,645,787"
Superstar,1999,"30,628,981",0,"30,628,981"
Virus,1999,"14,010,690","16,616,000","30,626,690"
Major League II,1994,"30,626,182",0,"30,626,182"
Super Troopers 2,2018,"30,609,330",0,"30,609,330"
An American Werewolf in Paris,1997,"26,570,463","4,021,000","30,591,463"
Blank Check,1994,"30,577,969",0,"30,577,969"
Deliver Us from Evil,2006,"30,577,122",0,"30,577,122"
Slender Man,2018,"30,564,825",0,"30,564,825"
Cabin Fever,2002,"21,158,188","9,395,206","30,553,394"
The Sitter,2011,"30,538,669",0,"30,538,669"
The New World,2005,"12,712,093","17,823,920","30,536,013"
Sleepwalkers,1992,"30,524,763",0,"30,524,763"
Get on Up,2014,"30,513,940",0,"30,513,940"
Uncommon Valor,1983,"30,503,151",0,"30,503,151"
The Lord of the Rings,1978,"30,471,420",0,"30,471,420"
Don Jon,2013,"24,477,704","5,973,052","30,450,756"
Jigsaw,2017,"30,431,173",0,"30,431,173"
Mortdecai,2015,"7,605,668","22,812,892","30,418,560"
Sgt. Bilko,1996,"30,356,793",0,"30,356,793"
White Christmas,1954,"30,000,000","341,278","30,341,278"
A Night at the Roxbury,1998,"30,324,946",0,"30,324,946"
Long Shot,2019,"30,316,271",0,"30,316,271"
The Fighting Temptations,2003,"30,238,577",0,"30,238,577"
The Great Debaters,2007,"30,226,144",0,"30,226,144"
Honey,2003,"30,222,640",0,"30,222,640"
Weekend at Bernie's,1989,"30,218,387",0,"30,218,387"
How Do You Know,2010,"30,212,620",0,"30,212,620"
The Art of War,2000,"30,208,599",0,"30,208,599"
Bless the Child,2000,"29,374,178","814,997","30,189,175"
Jane Austen's Mafia!,1998,"19,882,538","10,300,000","30,182,538"
