name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Southpaw,2015,"52,421,953","39,548,874","91,970,827"
Behind Enemy Lines,2001,"59,068,786","32,896,412","91,965,198"
Brave Hearts: Umizaru,2012,0,"91,884,352","91,884,352"
DC League of Super-Pets,2022,"91,923,073",0,"91,923,073"
"I Love You, Man",2009,"71,440,011","20,196,975","91,636,986"
Season of the Witch,2011,"24,827,228","66,800,000","91,627,228"
Masquerade,1988,"15,855,828","75,737,916","91,593,744"
Drag Me to Hell,2009,"42,100,625","49,287,862","91,388,487"
Friday the 13th,2009,"65,002,019","26,377,032","91,379,051"
Fracture,2007,"39,015,018","52,339,197","91,354,215"
Underworld: Rise of the Lycans,2009,"45,802,315","45,551,186","91,353,501"
Get Him to the Greek,2010,"60,974,475","30,287,004","91,261,479"
Back to School,1986,"91,258,000",0,"91,258,000"
White Noise,2005/I,"56,386,759","34,809,660","91,196,419"
Spotlight,2015/I,"45,055,776","46,135,576","91,191,352"
Romeo Must Die,2000,"55,973,336","35,063,424","91,036,760"
Paranormal Activity: The Marked Ones,2014,"32,462,372","58,442,482","90,904,854"
Fantasia 2000,1999,"60,655,420","30,219,150","90,874,570"
The Karate Kid,1984,"90,815,558",0,"90,815,558"
Racing Stripes,2005,"49,772,522","40,981,953","90,754,475"
White Men Can't Jump,1992,"76,253,806","14,500,000","90,753,806"
Autumn in New York,2000,"37,761,915","52,964,753","90,726,668"
Galaxy Quest,1999,"71,583,916","19,100,000","90,683,916"
King Kong,1976,"52,614,445","38,000,000","90,614,445"
Anchorman: The Legend of Ron Burgundy,2004,"85,288,303","5,285,885","90,574,188"
The Mortal Instruments: City of Bones,2013,"31,165,421","59,400,000","90,565,421"
Madea Goes to Jail,2009,"90,485,233",0,"90,485,233"
The Tale of Despereaux,2008,"50,877,145","39,605,172","90,482,317"
Bring It On,2000,"68,379,000","22,070,929","90,449,929"
Final Destination 2,2003,"46,961,214","43,465,191","90,426,405"
Trading Places,1983,"90,404,800",0,"90,404,800"
The Second Best Exotic Marigold Hotel,2015,"33,078,266","57,306,040","90,384,306"
Bedazzled,2000,"37,886,980","52,496,228","90,383,208"
Red Riding Hood,2011,"37,662,162","52,638,280","90,300,442"
Identity,2003,"52,159,536","38,100,000","90,259,536"
Rush,2013/I,"26,947,624","63,300,000","90,247,624"
Where the Crawdads Sing,2022,"90,021,672",0,"90,021,672"
The Abyss,1989,"54,461,047","35,539,051","90,000,098"
Enter the Dragon,1973,"25,000,000","65,000,000","90,000,000"
Fritz the Cat,1972,"25,000,000","65,000,000","90,000,000"
Zhan lang,2015,0,"90,000,000","90,000,000"
Marmaduke,2010,"33,644,788","56,251,142","89,895,930"
The Cannonball Run,1981,"72,179,579","17,639,570","89,819,149"
Sucker Punch,2011,"36,392,502","53,365,887","89,758,389"
Burlesque,2010/I,"39,440,655","50,079,118","89,519,773"
The Long Kiss Goodnight,1996,"33,328,051","56,128,710","89,456,761"
Stigmata,1999,"50,046,268","39,400,000","89,446,268"
Gwoemul,2006,"2,201,923","87,229,967","89,431,890"
Long men fei jia,2011,"170,276","89,205,044","89,375,320"
The Purge,2013/I,"64,473,115","24,855,512","89,328,627"
Father of the Bride,1991,"89,325,780",0,"89,325,780"
The Trial of Billy Jack,1974,"89,000,000",0,"89,000,000"
Transporter 2,2005,"43,095,600","45,882,602","88,978,202"
Rumor Has It...,2005,"43,000,262","45,933,300","88,933,562"
Kangaroo Jack,2003,"66,934,963","21,994,148","88,929,111"
The Hundred-Foot Journey,2014,"54,240,821","34,640,000","88,880,821"
A Star Is Born,1976,"80,000,000","8,870,102","88,870,102"
Manchester by the Sea,2016,"47,695,120","41,055,868","88,750,988"
La môme,2007,"10,301,706","78,312,055","88,613,761"
The Cider House Rules,1999,"57,545,092","31,000,000","88,545,092"
Shanghai Knights,2003,"60,476,872","27,846,615","88,323,487"
This Is 40,2012,"67,544,505","20,514,281","88,058,786"
Rookies: Sotsugyô,2009,0,"88,055,243","88,055,243"
The Hand That Rocks the Cradle,1992,"88,036,683",0,"88,036,683"
Dhoom:3,2013,"8,031,955","80,000,000","88,031,955"
The Inbetweeners Movie,2011,"36,000","87,989,781","88,025,781"
Blow,2001,"52,990,775","35,000,000","87,990,775"
Match Point,2005,"23,089,926","64,900,000","87,989,926"
Jaws 3-D,1983,"45,517,055","42,470,000","87,987,055"
Deliver Us from Evil,2014/I,"30,577,122","57,360,693","87,937,815"
Spawn,1997,"54,967,359","32,969,867","87,937,226"
The Illusionist,2006,"39,868,642","48,023,746","87,892,388"
Peter Pan,1953,"87,404,651","407,872","87,812,523"
State of Play,2009,"37,017,955","50,794,416","87,812,371"
Gosford Park,2001,"41,308,615","46,445,429","87,754,044"
Sinister,2012/I,"48,086,903","39,640,904","87,727,807"
Ali,2001,"58,203,105","29,510,720","87,713,825"
Zhong Guo he huo ren,2013,0,"87,600,000","87,600,000"
RV,2006,"71,726,025","15,802,148","87,528,173"
The Poseidon Adventure,1972,"84,563,118","2,846,713","87,409,831"
Sabrina,1995,"53,672,080","33,641,681","87,313,761"
The Lincoln Lawyer,2011,"58,009,200","29,135,886","87,145,086"
The Shaggy Dog,2006,"61,123,569","26,010,711","87,134,280"
