name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Critters,1986,"13,167,232",0,"13,167,232"
The Unsinkable Molly Brown,1964,"13,167,200",0,"13,167,200"
Greedy,1994,"13,145,977",0,"13,145,977"
Battle of the Sexes,2017,"12,630,146","515,450","13,145,596"
To Kill a Mockingbird,1962,"13,129,846",0,"13,129,846"
Bye Bye Birdie,1963,"13,129,412",0,"13,129,412"
San Francisco,1936,"6,782,437","6,340,280","13,122,717"
Author! Author!,1982,"13,111,101",0,"13,111,101"
Back to the Beach,1987,"13,110,903",0,"13,110,903"
Rosewood,1997,"13,104,494",0,"13,104,494"
Frailty,2001,"13,103,828",0,"13,103,828"
The Evil That Men Do,1984,"13,102,025",0,"13,102,025"
Playing for Keeps,2012,"13,101,142",0,"13,101,142"
The Rum Diary,2011,"13,100,042",0,"13,100,042"
The Last House on the Left,1972,"3,100,000","10,000,000","13,100,000"
Hillary's America: The Secret History of the Democratic Party,2016,"13,096,535",0,"13,096,535"
American Me,1992,"13,086,430",0,"13,086,430"
Cat's Eye,1985,"13,086,298",0,"13,086,298"
Hans Christian Andersen,1952,"13,080,000",0,"13,080,000"
The Way of the Gun,2000,"6,055,661","7,014,079","13,069,740"
25th Hour,2002,"13,060,843",0,"13,060,843"
The Evening Star,1996,"12,767,815","290,535","13,058,350"
Ghosts of Mississippi,1996,"13,052,741",0,"13,052,741"
Marshall,2017,"10,051,659","3,000,805","13,052,464"
Clockers,1995,"13,040,603",0,"13,040,603"
Senseless,1998,"13,035,599",0,"13,035,599"
I'm Gonna Git You Sucka,1988,"13,030,057",0,"13,030,057"
The First Great Train Robbery,1978,"13,027,857",0,"13,027,857"
Onmyoji 2,2003,0,"13,022,862","13,022,862"
How to Eat Fried Worms,2006,"13,022,756",0,"13,022,756"
The Crew,2000,"13,019,253",0,"13,019,253"
Easter Sunday,2022,"13,013,690","5,352","13,019,042"
The Concorde... Airport '79,1979,"13,015,688",0,"13,015,688"
They Live,1988,"13,008,928",0,"13,008,928"
Gypsy,1962,"13,008,000",0,"13,008,000"
House of Sand and Fog,2003,"13,005,485",0,"13,005,485"
Hævnen,2010,"1,008,098","11,996,100","13,004,198"
Please Don't Eat the Daisies,1960,"11,100,000","1,900,000","13,000,000"
The Last Time,2006,"7,000,000","6,000,000","13,000,000"
Cooley High,1975,"13,000,000",0,"13,000,000"
To Be or Not to Be,1983,"13,000,000",0,"13,000,000"
The Big Fix,1978,"13,000,000",0,"13,000,000"
Real Genius,1985,"13,000,000",0,"13,000,000"
High Society,1956,"13,000,000",0,"13,000,000"
Stroker Ace,1983,"13,000,000",0,"13,000,000"
Torn Curtain,1966,"13,000,000",0,"13,000,000"
Arn: Tempelriddaren,2007,0,"12,995,895","12,995,895"
Religulous,2008,"12,995,673",0,"12,995,673"
Deconstructing Harry,1997,"10,569,071","2,422,000","12,991,071"
The Quiet American,2002,"12,987,647",0,"12,987,647"
Do You Believe?,2015,"12,985,600",0,"12,985,600"
Man's Best Friend,1993,"12,974,636",0,"12,974,636"
El Dorado,1967,"12,971,000",0,"12,971,000"
Child 44,2015,"1,224,330","11,744,958","12,969,288"
April Fool's Day,1986,"12,947,763",0,"12,947,763"
Birth of the Dragon,2016,"6,901,965","6,043,490","12,945,455"
Perfect,1985,"12,918,858",0,"12,918,858"
Living Out Loud,1998,"12,902,790",0,"12,902,790"
Vision Quest,1985,"12,900,000",0,"12,900,000"
Sgt. Pepper's Lonely Hearts Club Band,1978,"12,900,000",0,"12,900,000"
A Far Off Place,1993,"12,890,752",0,"12,890,752"
Under Hellgate Bridge,2000,"28,883","12,859,417","12,888,300"
Highlander,1986,"5,900,000","6,985,193","12,885,193"
Gods and Generals,2003,"12,870,569",0,"12,870,569"
The Singing Fool,1928,"10,900,000","1,962,000","12,862,000"
The Honeymooners,2005,"12,834,056",0,"12,834,056"
Wicker Park,2004,"12,831,121",0,"12,831,121"
Black Dog,1998,"12,829,351",0,"12,829,351"
Office Space,1999,"10,824,921","2,000,000","12,824,921"
Highlander: Endgame,2000,"12,801,190",0,"12,801,190"
The Nun's Story,1959,"12,800,000",0,"12,800,000"
The Sugarland Express,1974,"7,500,000","5,300,000","12,800,000"
Rachel Getting Married,2008,"12,796,277",0,"12,796,277"
Mystic Pizza,1988,"12,793,213",0,"12,793,213"
I Heart Huckabees,2004,"12,784,713",0,"12,784,713"
Marvin's Room,1996,"12,782,508",0,"12,782,508"
The Associate,1996,"12,772,657",0,"12,772,657"
A Beautiful Planet,2016,"12,769,839",0,"12,769,839"
Street Fighter: The Legend of Chun-Li,2009,"8,742,261","4,021,940","12,764,201"
Weekend at Bernie's II,1993,"12,741,891",0,"12,741,891"
Labyrinth,1986,"12,729,917",0,"12,729,917"
D.O.A.,1988,"12,706,478",0,"12,706,478"
"Move Over, Darling",1963,"12,705,882",0,"12,705,882"
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,"12,701,880",0,"12,701,880"
Mr. Nice Guy,1987,"12,700,000",0,"12,700,000"
See How They Run,2022,"8,313,007","4,500,000","12,813,007"
Yat goh ho yan,1997,"12,674,183",0,"12,674,183"
News of the World,2020,"12,668,325",0,"12,668,325"
The Darkest Minds,2018,"12,667,793",0,"12,667,793"
Dirty Pretty Things,2002,"8,111,360","4,550,000","12,661,360"
Chasing Papi,2003,"6,126,237","6,531,140","12,657,377"
The Spitfire Grill,1996,"12,643,776",0,"12,643,776"
The Bedroom Window,1987,"12,640,385",0,"12,640,385"
Everybody's All-American,1988,"12,638,294",0,"12,638,294"
Triple 9,2016,"12,626,905",0,"12,626,905"
Bad Influence,1990,"12,626,043",0,"12,626,043"
A Shot in the Dark,1964,"12,368,234","252,503","12,620,737"
The Legend of the Lone Ranger,1981,"12,617,845",0,"12,617,845"
The Omega Code,1999,"12,614,346",0,"12,614,346"
Brahms: The Boy II,2020,"12,611,536",0,"12,611,536"
Macbeth,2015/I,"1,110,707","11,493,459","12,604,166"
Macbeth,2015,"1,108,247","11,493,459","12,601,706"
Incendies,2010,"6,857,096","5,740,114","12,597,210"
Gossip,2000/I,"5,108,820","7,482,450","12,591,270"
La misma luna,2007,"12,589,108",0,"12,589,108"
An Education,2009,"12,574,715",0,"12,574,715"
Silent House,2011,"12,555,230",0,"12,555,230"
Love & Mercy,2014,"12,551,031",0,"12,551,031"
I Think I Love My Wife,2007,"12,550,605",0,"12,550,605"
Idlewild,2006,"12,549,485",0,"12,549,485"
Rio Bravo,1959,"12,535,000",0,"12,535,000"
Hellraiser III: Hell on Earth,1992,"12,534,961",0,"12,534,961"
Amityville II: The Possession,1982,"12,534,817",0,"12,534,817"
Compromising Positions,1985,"12,531,831",0,"12,531,831"
Love Jones,1997,"12,514,138",0,"12,514,138"
Freedomland,2006,"12,512,886",0,"12,512,886"
Onaji tsuki wo miteiru,2005,"12,507,834",0,"12,507,834"
Father Goose,1964,"12,500,000",0,"12,500,000"
War and Peace,1956,"12,500,000",0,"12,500,000"
Hak hap,1996,"12,491,455",0,"12,491,455"
French Connection II,1975,"12,484,444",0,"12,484,444"
The Marrying Man,1991,"12,454,768",0,"12,454,768"
Beyond Rangoon,1995,"5,750,110","6,700,000","12,450,110"
Ben-Hur: A Tale of the Christ,1925,"12,449,980",0,"12,449,980"
Vanishing Point,1971,"12,442,673",0,"12,442,673"
Life with Mikey,1993,"12,440,858",0,"12,440,858"
Strange Magic,2015,"12,427,046",0,"12,427,046"
Jackie,2016,"12,424,510",0,"12,424,510"
