name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Jack the Bear,1993,"5,145,462",0,"5,145,462"
Butch and Sundance: The Early Days,1979,"5,136,913",0,"5,136,913"
Le locataire,1976,"1,924,733","3,207,822","5,132,555"
The Company You Keep,2012,"5,132,442",0,"5,132,442"
Rabbit Hole,2010,"2,229,058","2,900,000","5,129,058"
The Haunting in Connecticut 2: Ghosts of Georgia,2013,0,"5,127,434","5,127,434"
Colette,2018,"5,126,985",0,"5,126,985"
Heidi's Song,1982,"5,124,391",0,"5,124,391"
They Call Me Mister Tibbs!,1970,"5,123,000",0,"5,123,000"
Kray,2010,0,"5,122,737","5,122,737"
Grind,2003,"5,111,630",0,"5,111,630"
King David,1985,"5,111,099",0,"5,111,099"
Of Mice and Men,1992,"5,101,632",0,"5,101,632"
The Hotel New Hampshire,1984,"5,100,000",0,"5,100,000"
Out of Bounds,1986,"5,099,316",0,"5,099,316"
Shortbus,2006,"1,985,292","3,108,568","5,093,860"
Top Dog,1995,"5,093,707",0,"5,093,707"
Dark Places,2015,"208,588","4,882,264","5,090,852"
Ghost in the Machine,1993,"5,086,909",0,"5,086,909"
Bleed for This,2016,"5,083,906",0,"5,083,906"
Miller's Crossing,1990,"5,080,409",0,"5,080,409"
Dangerous Ground,1997,"5,079,851",0,"5,079,851"
Home from the Hill,1960,"3,275,000","1,800,000","5,075,000"
Action Point,2018,"5,059,608",0,"5,059,608"
Les brigades du Tigre,2006,0,"5,055,828","5,055,828"
Hetjur Valhallar - Þór,2011,0,"5,051,648","5,051,648"
Tarzan and the Lost Safari,1957,"1,994,700","3,052,000","5,046,700"
The Mustang,2019,"5,043,620",0,"5,043,620"
Lope,2010,0,"5,040,058","5,040,058"
Celebrity,1998,"5,032,496",0,"5,032,496"
The Three Burials of Melquiades Estrada,2005,"5,023,275",0,"5,023,275"
American Dreamer,1984,"5,021,751",0,"5,021,751"
Woman on Top,2000,"5,018,450",0,"5,018,450"
Nikita,1990,"5,017,971",0,"5,017,971"
The Diary of Anne Frank,1959,"5,014,000",0,"5,014,000"
The Treasure of the Sierra Madre,1948,"5,014,000",0,"5,014,000"
Brass Target,1978,"5,011,158",0,"5,011,158"
Moon,2009,"5,009,677",0,"5,009,677"
Bubble Boy,2001,"5,007,898",0,"5,007,898"
Lifemark,2022,"5,007,861",0,"5,007,861"
Ju-on: Za fainaru,2015,0,"5,006,867","5,006,867"
Tempest,1982,"5,005,245",0,"5,005,245"
Heaven's Prisoners,1996,"5,005,000",0,"5,005,000"
The Anderson Tapes,1971,"5,000,000",0,"5,000,000"
Destination Moon,1950,"5,000,000",0,"5,000,000"
High Strung,2016,"45,255","4,954,745","5,000,000"
Southern Comfort,1981,"5,000,000",0,"5,000,000"
Descendants of the Coven,2006,"5,000,000",0,"5,000,000"
Bootleggers,1974,"5,000,000",0,"5,000,000"
The Ballad of Cable Hogue,1970,"3,500,000","1,500,000","5,000,000"
Frances,1982,"5,000,000",0,"5,000,000"
"The Beast from 20,000 Fathoms",1953,"5,000,000",0,"5,000,000"
Death Hunt,1981,"5,000,000",0,"5,000,000"
Sunset Blvd.,1950,"2,350,000","2,650,000","5,000,000"
Bokkusu!,2010,0,"5,000,000","5,000,000"
Macabre,1958,"5,000,000",0,"5,000,000"
Pete Kelly's Blues,1955,"5,000,000",0,"5,000,000"
The Doberman Gang,1972,"5,000,000",0,"5,000,000"
Hard Times,1975,"5,000,000",0,"5,000,000"
Darling Lili,1970,"5,000,000",0,"5,000,000"
Mahogany,1975,"5,000,000",0,"5,000,000"
The Mississippi Gambler,1953,"5,000,000",0,"5,000,000"
No Small Affair,1984,"4,994,094",0,"4,994,094"
Club Dread,2004,"4,992,159",0,"4,992,159"
Stop Making Sense,1984,"4,978,922",0,"4,978,922"
Let It Ride,1989,"4,973,285",0,"4,973,285"
Innocent Blood,1992,"4,972,818",0,"4,972,818"
Gringo,2018,"4,969,853",0,"4,969,853"
Summer Lovers,1982,"4,968,000",0,"4,968,000"
The Handmaid's Tale,1990,"4,960,385",0,"4,960,385"
Treasure Island,1934,"2,537,520","2,419,800","4,957,320"
Jakob the Liar,1999,"4,956,401",0,"4,956,401"
Vamp,1986,"4,941,117",0,"4,941,117"
Jean de Florette,1986,"4,940,939",0,"4,940,939"
Solo,1996,"4,932,915",0,"4,932,915"
The Apparition,2012,"4,930,798",0,"4,930,798"
From Justin to Kelly,2003,"4,922,166",0,"4,922,166"
Birthday Girl,2001,"4,919,896",0,"4,919,896"
Leonard Part 6,1987,"4,916,871",0,"4,916,871"
Surf Ninjas,1993,"4,916,135",0,"4,916,135"
Mustang,2015,"845,464","4,070,160","4,915,624"
Cyrano,2021,"3,873,124","1,039,893","4,913,017"
Beirut,2018,"4,909,144",0,"4,909,144"
The Playboys,1992,"4,906,900",0,"4,906,900"
The Magnificent Seven,1960,"4,905,000",0,"4,905,000"
Titanic,1953,"4,905,000",0,"4,905,000"
Girl 6,1996,"4,903,000",0,"4,903,000"
L'amant,1992,"4,899,194",0,"4,899,194"
Rainbow Brite and the Star Stealer,1985,"4,889,971",0,"4,889,971"
Invaders from Mars,1986,"4,884,663",0,"4,884,663"
Hamlet 2,2008,"4,881,867",0,"4,881,867"
Bhowani Junction,1956,"2,075,000","2,800,000","4,875,000"
Hilary and Jackie,1998,"4,874,838",0,"4,874,838"
Dilwale,2015,"4,871,263",0,"4,871,263"
Torch Song Trilogy,1988,"4,865,997",0,"4,865,997"
Little Buddha,1993,"4,858,139",0,"4,858,139"
"Paris, je t'aime",2006,"4,857,376",0,"4,857,376"
Intermission,2003,"896,993","3,959,305","4,856,298"
Zola,2020,"4,855,498",0,"4,855,498"
The Miniver Story,1950,"2,158,200","2,690,120","4,848,320"
American Anthem,1986,"4,845,724",0,"4,845,724"
Gomez & Tavarès,2003,0,"4,844,530","4,844,530"
Off Beat,1986,"4,842,778",0,"4,842,778"
Hollywood Ending,2002,"4,839,383",0,"4,839,383"
Diggstown,1992,"4,836,637",0,"4,836,637"
Extreme Ops,2002,"4,835,968",0,"4,835,968"
Les Boys,1997,"4,835,888",0,"4,835,888"
